onset	duration	nwb_table	visited_arm	epoch_name	behavioral_paradigm	environment	manipulation	peak_time	peak_normed_power	peak_frequencies	ripple_durations	peak_amplitudes	label
463.44480000000004	0.03519999999997481	RippleTimeIntervals						463.4608	5.028797834293694	124.4056939224552	0.03519999999997481	1929.5054110453425	
464.0392	0.040000000000020464	RippleTimeIntervals						464.05600000000004	6.738753501542497	153.81544194196303	0.040000000000020464	1475.8085447496067	
464.5752	0.03840000000002419	RippleTimeIntervals						464.5872	5.851152430980555	135.09939910200978	0.03840000000002419	1869.1992365339463	
465.0312	0.02719999999999345	RippleTimeIntervals						465.0416	6.622668658740547	163.1313349628606	0.02719999999999345	1394.9983336859448	
466.0	13.0	SleepStates											WAKEstate
466.0	13.0	SleepStates											WAKEnontheta
467.0	1.0	SleepStates											QWake_ThDt
467.0	1.0	SleepStates											QWake_noRipples_ThDt
468.93600000000004	0.057599999999979445	RippleTimeIntervals						468.97200000000004	12.449849368431071	148.0171650654246	0.057599999999979445	1958.5615854644846	
469.0	1.0	SleepStates											WAKEtheta_ThDt
470.9424	0.04959999999999809	RippleTimeIntervals						470.96320000000003	6.972629122115401	136.04377544084852	0.04959999999999809	1851.9202980785221	
471.0	0.0	SleepStates											QWake_ThDt
471.0	0.0	SleepStates											QWake_noRipples_ThDt
472.0	1.0	SleepStates											WAKEtheta_ThDt
473.0	0.0	SleepStates											QWake_ThDt
473.0	0.0	SleepStates											QWake_noRipples_ThDt
475.0	3.0	SleepStates											WAKEtheta_ThDt
479.0	0.0	SleepStates											QWake_ThDt
479.0	0.0	SleepStates											QWake_noRipples_ThDt
480.0	55.0	SleepStates											NREMstate
480.0	0.0	SleepStates											NREM_ThDt
480.0	0.0	SleepStates											NREM_noRipples_ThDt
482.0	0.0	SleepStates											NREM_ThDt
482.0	0.0	SleepStates											NREM_noRipples_ThDt
487.5144	0.02400000000000091	RippleTimeIntervals						487.5248	8.950834683300375	158.93024422087072	0.02400000000000091	1630.2929325918485	
489.0	1.0	SleepStates											NREM_ThDt
489.0	1.0	SleepStates											NREM_noRipples_ThDt
489.7704	0.021600000000034925	RippleTimeIntervals						489.7848	5.557215788347754	138.7708232554476	0.021600000000034925	1911.3540291177844	
489.956	0.02719999999999345	RippleTimeIntervals						489.976	7.8912554624226905	164.79397058639282	0.02719999999999345	1728.2924101860167	
492.9776	0.02800000000002001	RippleTimeIntervals						492.9896	4.166819887212621	128.76048148774467	0.02800000000002001	1693.867177121796	
493.0	4.0	SleepStates											NREM_ThDt
493.0	4.0	SleepStates											NREM_noRipples_ThDt
500.0	1.0	SleepStates											NREM_ThDt
500.0	1.0	SleepStates											NREM_noRipples_ThDt
502.0808	0.03840000000002419	RippleTimeIntervals						502.10400000000004	13.203674018163332	144.6202486112094	0.03840000000002419	2338.1906631535626	
502.32160000000005	0.031199999999955708	RippleTimeIntervals						502.3376	6.234841489112022	135.46313062284568	0.031199999999955708	1894.7165512861104	
504.0	0.0	SleepStates											NREM_ThDt
504.0	0.0	SleepStates											NREM_noRipples_ThDt
507.0	4.0	SleepStates											NREM_ThDt
507.0	4.0	SleepStates											NREM_noRipples_ThDt
511.90880000000004	0.04239999999998645	RippleTimeIntervals						511.9352	9.240828542777606	161.0485871328227	0.04239999999998645	1653.0951847779709	
512.1264	0.041600000000016735	RippleTimeIntervals						512.1512	6.551206895191053	163.41125837742086	0.041600000000016735	1410.633138915924	
512.4536	0.026399999999966894	RippleTimeIntervals						512.4680000000001	8.892580852478218	138.6611752362973	0.026399999999966894	2114.5010977482198	
515.0	1.0	SleepStates											NREM_ThDt
515.0	1.0	SleepStates											NREM_noRipples_ThDt
516.2856	0.02719999999999345	RippleTimeIntervals						516.2968000000001	7.726938843236863	142.3283643643694	0.02719999999999345	1797.7618363257616	
518.0	8.0	SleepStates											NREM_ThDt
518.0	8.0	SleepStates											NREM_noRipples_ThDt
521.816	0.05679999999995289	RippleTimeIntervals						521.8632	4.8937909367615235	151.00716569109775	0.05679999999995289	1265.0582519041511	
528.0	1.0	SleepStates											NREM_ThDt
528.0	1.0	SleepStates											NREM_noRipples_ThDt
530.3464	0.02400000000000091	RippleTimeIntervals						530.3608	7.597535312680447	142.73527254633618	0.02400000000000091	1866.3677449270838	
